zh-CN,en-US
点击可最小化控制软件，显示计算机桌面。,Tap to minimize the control software.
需区分大小写。,The password is case-sensitive.
图标显示废液仓门状态。,Different icons indicate the status of the waste container compartment door.
如有需要，用无尘布蘸少量无水酒精进行擦拭，并等待自然风干。,Use a lint-free cloth moistened with absolute alcohol to wipe the surface of the drive and wait for air-dry.
显示当前任务预计完成时间。,Displays the expected end time of the current task.
点击新增则添加该阶段，点击删除则删除该阶段。,"Tap Add to add this phase, and tap Delete to delete this phase."
如需继续分析，点击继续。,"To continue analysis, tap Continue."
在操作列点击查看生信报告。,Tap to view the bioinformatic report in the column of Operate.
在操作列点击查看下机报告。,Tap to view the bioinformatic report in the column of Operate.
-25 ℃ ~ -15℃,-25 ℃ to -15 ℃ (-77 °F to -59 °F)
点击该列的或，调整对应行的任务显示顺序。,Tap or in this column to adjust the display order of the corresponding row.
点击该列的，删除对应任务。,Tap in this column to delete the task.
点击该列的，查看生信报告。,Tap in this column to view the bioinformatic report.
点击该列的，查看下机报告。,Tap in this column to view the summary report.
警示生物性危险 避免接触病毒或毒素等,Warns of a hazard from a biological hazard
准备插件、试剂槽和载片,"Preparing the insert, sequencing reagent
cartridge and flow cell"
仅可使用本制造商生产的测序试剂槽和载片。,Use only the sequencing reagent cartridge and flow cell of the manufacturer for the sequencing procedure.
取出插件、测序试剂槽、清洗试剂槽和载片进行前期准备。,"Take out the insert, sequencing reagent cartridge, washing cartridge and flow cell, and prepare them for sequencing."
具体操作，参考相关试剂套装说明书。,"For details, refer to the relevant reagent kit user manual."
小心夹手,Warning; crushing of hands
警示来自可做闭合运动的机械部件的危险,Taking care to avoid injury to hands when in the vicinity of equipment with closing mechanical parts
BCS（Basecall服务）光纤接口,BCS (BaseCall Service) fiber port
15 ℃~30 ℃,15 ℃ to 30 ℃ (59 °F to 86 °F)
本仪器支持自动清洗，如需在测序完成后进行自动清洗，请提前放置清洗试剂槽。,"The device supports auto wash. If you need to perform an auto wash after the sequencing is completed, add the washing reagents into the sequencing reagent cartridge."
产品类别,Category
临床检验分析仪器，第三类,Class A in accordance with the rule 5(b) set out in Annex VIII of IVDR
保险丝规格,Fuse specification
升降屏,Auto-sliding screen
1920×360像素,1920×360 pixels
1150 mm（宽）× 816 mm（高）× 750.3 mm（深）,1150 mm (W)× 816 mm (H)× 750.3 mm (D) 45 inches (W)× 32 inches (H)× 30 inches (D)
副显示屏,Sub-screen
19英寸,19 inches
300 kg,300 kg (661 lb)
实验桌承重要求,Lab bench bearing capacity
外壳防护等级（IP 代码）,Ingress protection rating (IP rating)
1370 mm（宽）×,1370 mm (W)× 1760 mm (H)× 848 mm (D) 53.9 inches (W)× 69.2 inches (H)× 33.3 inches (D)
确保测序试剂槽已完成前期准备。,Ensure that the sequencing reagent cartridge is pre-prepared.
打开测序试剂仓门。,Open the sequencing reagent compartment door.
拉开抽屉，用纯水润湿的无尘纸或无尘布擦拭试剂抽屉内底部及侧面，保持清洁干燥。,"Slide the drawer outward, use a lint-free cloth or paper moistened with pure water to wipe the bottom and side wall of the drawer to keep it clean and dry."
清洁试剂抽屉内壁时，小心操作防止被上方的试剂针划伤。,"When cleaning the inner wall of the drawer, operate with care to avoid injuries by the reagent needle."
按照清洗试剂槽上盖的箭头指示方向，左手握住试剂槽左边中间部分，右手握住右边中下部分，放入抽屉左侧。,"Holding the middle-left side of the washing cartridge with the left hand and the middle-right side of it with the right hand, place the cartridge into the left side of the drawer according to the arrow on the top cover of the washing cartridge."
系统自动识别清洗试剂槽RFID以获取ID。,RFID for washing cartridge is identified automatically to obtain ID.
如获取失败，可手动输入ID。,"If scanning fails, manually input the ID."
80 kPa~106 kPa,80 kPa to 106 kPa
2000米,2000 m
放置清洗试剂槽前，确保已将清洗试剂加入槽中。,"Before placing the washing cartridge, ensure that the washing reagent is added into the cartridge."
放置清洗试剂槽,Placing the washing cartridge
按照测序试剂槽上盖的箭头指示方向，左手握住试剂槽左边中间部分，右手握住试剂槽右边中间部分，慢慢向下放入抽屉右侧。,"Holding the middle-left side of the reagent cartridge with the left hand and the middle-right side of it with the right hand, gently place the cartridge downward into the right side of the drawer according to the arrow on the top cover of the reagent cartridge."
放置测序试剂槽,Placing the sequencing reagent cartridge
推入试剂抽屉，关闭仓门。,Slide the drawer inward and close the compartment door.
点击>关于，可查看仪器基本信息，如软件版本、序列号和制造商等信息，也可查看联系信息。,"Tap>About to view the basic information of the device, such as software version, serial number, and manufacturer information, and the contact information."
系统自动识别测序试剂槽和插件RFID以获取ID。,RFIDs for reagent cartridge and inserts are identified automatically to obtain IDs.
,
15 ℃~25 ℃,15 °C to 25 °C (59 °F to 86 °F)
放置测序试剂槽和清洗试剂槽,Placing reagent cartridge and washing cartridge
本仪器仅可由技术支持或在技术支持的指导下进行拆箱。,Only the technical support of the manufacturer or the personnel who is guided by the technical support can unpack the device.
收到仪器后，请联系技术支持进行拆箱和安装。,Contact the technical support to unpack and install the device upon delivery.
自行拆箱和安装将导致质保失效。,Failure to do so will void the warranty.
收到仪器后，请检查外包装是否完好，防震动和防倾斜标签是否异常。,Ensure that the outer package is intact and the indicator status of the anti-shock and anti-tilt labels is normal upon delivery.
从上往下依次连接A、B、C、D边的废液桶。,"Connects to the waste containers for sides A, B, C and D from top to bottom."
点击>维护，可进行维护自检，查看仪器寿命监测信息，进行维护清洗。,"Tap >Maintenance to perform the maintenance self-check, view the service life monitoring information, and perform the maintenance wash."
无颜色变化,Remains unaffected
防震动标签,Anti-shock label
维护自检,Maintenance self-check
选择维护自检页签，勾选全部或所需部件，保存后可手动启动仪器自检。,"Tap maintenance self-check tab, and select All or required components. Save the settings and the self-check starts."
废液桶,Waste container
如有异常，联系技术支持。,"If any problem occurs, contact the technical support."
中国武汉市东湖新技术开发区高新二路388号武汉光谷国际生物医药企业加速器3.1期24栋,"Building 24, Stage 3.1, BioLake Accelerator, No.388, 2nd Gaoxin Road, East Lake High-Tech Development Zone, 430075, Wuhan, P.R.China"
邮 箱：,E-mail:
网 址：,Website:
版本,Version
产品型号,Sequencing Kit
编号,Serial number
手册名称,Item
生产地址：,Address:
产品说明书,User Manual
由于广域网的固有特性，连接到广域网（WAN）会极大地放大潜在的网络安全,Connecting to a wide area network (WAN) greatly amplifies potential network security risks due to the inherent characteristics of WANs.
,
流程运行过程中，请勿撞击、移动、晃动仪器，或在仪器周围放置其他产生振动的设备。,"Do not bump, move, vibrate or impact the device during sequencing,"
点击终止测序时，请仔细阅读弹框提示并确认无误后再操作。,"When tapping to stop sequencing, carefully read the pop-up prompt and confirm the operation before proceeding."
否则，可能导致无法进行断点续测。,"Otherwise, the sequencing may not be resumed."
如发现异常，根据提示检查问题部件，并参考本说明书排除故障。,"If an error occurs, follow the on-screen instructions, and refer to this user manual for troubleshooting."
点击界面顶部，进入控制中心界面，点击，在弹框中选择是。,"Tap the top of the interface to enter the Control center interface. Tap , and tap Yes in the pop-up dialog box."
将电源按钮拨至OFF位置。,Turn the power switch to the OFF position.
XYZT- 平台,XYZT-stage
总数据量,Total data output
显示仪器输出的总数据量。,Indicates the total data output produced by the device.
显示仪器总运行时间。,Indicates the total running time of the device.
显示A/B/C/D边废液仓门开关状态和门锁状态。,Indicates the waste container compartment door position (open/closed) and locking status of side A/B/C/D.
显示A/B/C/D边各类型的状态。,Indicates the status of all areas of side A/B/C/D.
MDA酶（℃）,MDA enzyme (℃)
：门锁已解锁。,: Door is unlocked.
显示A/B/C/D边当前MDA酶控温块温度。,Indicates the temperature of temperature control module for MDA enzyme of side A/B/C/D.
反应区（℃）,Reaction area (℃)
显示A/B/C/D边当前反应区chuck温度。,Indicates the temperature of chuck in the current reaction area of side A/B/C/D.
反应区（kPa）,Reaction area (kPa)
显示载片负压状态。,Indicates the negative pressure of the flow cell.
显示A/B/C/D边当前反应区chuck负压。,Indicates the negative pressure of chuck in the current reaction area of side A/B/C/D.
反应区PCR（℃）,Reaction area PCR (℃)
显示A/B/C/D边当前反应区PCR温度。,Indicates the PCR temperature of the current reaction area of side A/B/C/D.
废液桶状态（%）,Waste container status (%)
显示废液桶容量百分比。,Indicates the used capacity percentage of the waste container.
显示虚拟键盘开启状态。,Indicates the virtual keyboard status.
显示A/B/C/D边试剂仓和废液仓门开关状态和门锁状态。,Indicates the door position (open/closed) and locking status of the reagent compartment and waste container compartment of side A/B/C/D.
显示A/B/C/D边试剂仓仓门开关状态和门锁状态。,Indicates the reagent compartment door position (open/closed) and locking status of side A/B/C/D.
芯驱门,Flow cell drive door
显示芯驱门状态。,Indicates the flow cell drive door status.
点击可开启或关闭芯驱门。,Tap to open or close the flow cell drive door.
总测序次数,Total run number
显示仪器总测序次数。,Indicates the total run number of the device.
总运行时间,Total running time
否则，可能影响流程运行、导致仪器故障，甚至造成人身伤害。,"Otherwise, it may cause altered workflow result, device malfunction, or even personal injury."
仪器内置的,A laser is installed in the device. Laser radiation can cause eye injury and skin burns.
激光器,laser
产生的激光存在潜在人体危害。,laser
确保按照本说明书中描述的方法对仪器进行维护，以保证仪器性能良好。,Maintain the device by following the instructions described in this manual to ensure best performance.
否则，可能导致仪器故障，甚至造成人身伤害。,"Otherwise, it may result in device malfunction or even personal injury."
否则，可能导致仪器损坏，甚至造成人身伤害。,"Otherwise, it may result in device damage, or even personal injury."
禁止在易燃易爆环境中使用本仪器。,"Do not operate the device in the presence of flammable or explosive liquids, vapors, or gases."
操作不当将降低仪器的准确性，甚至损坏仪器。,"Incorrect operations may cause altered experimental
results or damage to the device."
本仪器仅可由本公司授权的技术支持人员（以下简称技术支持）或培训合格的人员进行拆箱、安装、移动、调试和维修。,"Only the technical support or qualified and trained personnel can unpack, install, move, debug, and maintain the device."
否则，可能降低仪器的准确性。,Unauthorized moves of the device may cause altered experimental results.
如需,"If the device needs to be moved, contact the technical support."
重新放置仪器,the device needs to be moved
，请联系技术支持。,the device needs to be moved
本仪器仅可由医学检验专业人员、经过培训的医生、技师或实验员进行操作。,Only trained personnel can operate the device.
请勿在开机状态下断开电源线。,Do not disconnect the power cord when the device is on.
否则，可能导致仪器性能降低或故障。,Unapproved components may degrade device performance or result in device malfunction.
禁止将样本及试剂槽置于仪器上，以防液体流入仪器内部，损坏仪器。,Do not place tubes or reagent kits on the device. Liquids seeping into the device may damage it.
请勿重复使用一次性用品，如试剂槽和载片。,"Do not reuse disposable items, except where noted in this manual."
确保使用本公司指定或推荐型号的,Only the peripheral devices and consumables specified by the manufacturer can be used.
及耗材。,peripheral devices
外接设备,peripheral devices
如有任何说明书中未提及的,"If you have maintenance questions that are not mentioned in this manual, contact the technical support."
问题，请及时咨询技术支持。,maintenance
本仪器在出厂前已进行验证，如使用过程中发现结果有较大偏差，请联系技术支持进行校准。,"The device has been verified before delivery. If serious deviation occurs during use, contact the technical support for calibration."
医生根据分析结果进行临床判断时，请同时考虑临床检查结果或其它试验结果。,"Therefore, the doctor should make clinical judgments according to
sequencing and other clinical results."
本仪器是用于体外诊断的临床检验分析仪器。,The device is a clinical laboratory analysis device and it is intended to be used in in vitro diagnosis.
放置测序载片,Placing the flow cell
确保在本说明书规定的使用条件下使用本仪器。,Ensure that the device is operated under the conditions specified in this manual.
否则，可能导致仪器故障。,"Otherwise, it may result in device malfunction."
仅可使用本公司提供的零部件对仪器进行维护。,Only the components provided by the manufacturer can be used for device maintenance.
安装和调试完成后，禁止再次移动仪器。,Do not move the device after the technical support has installed and debugged the device.
确保仪器运行前部件安装完整。,Ensure that the components of the device are completely installed before operation.
维护,maintenance
深圳华大智造生物电子科技有限公司,"Shenzhen MGI Biological Electronic Technology Co., Ltd."
中国深圳市盐田区盐田街道沿港社区北山道146号北山工业区11栋2楼,"2/F, Building 11, Beishan Industrial Zone, No. 146, Beishan
Road, Yantian Street, Yantian District, Shenzhen, 518083,
P.R. China"
2025 年 4 月 1 日,"April 1, 2025"
ID无误后，芯驱区域为绿色。,"When ID is correct, the flow cell drive area turns green."
点击下一步，进入参数填写界面。,Tap Next. The Review interface is displayed.
此时试剂仓门自动上锁。,The reagent compartment door locks automatically.
选择上传设置页签，可创建自定义存储地址和远程生信服务器地址。,Select the Upload setting tab to create the customized storage path and set the IP address of remote bioinformatic server.
注册人/生产企业,Manufacturer
打开载片包装盒，撕开载片真空包装袋，取出载片。,"Unwrap the flow cell package, tear open the vacuum-sealed packaging bag, open the box and remove the flow cell."
采用以下任一方式弹出芯驱。,Take either of the following method to pop out the flow cell drive:
轻按芯驱门上的，芯驱弹出。,Press on the flow cell drive door and the flow cell drive pops out.
点击界面的芯驱，芯驱区域显示为蓝色，芯驱弹出。,Tap Flow cell drive in the interface. The area turns blue and the flow cell drive pops out.
按照下图放置载片。,Place the flow cell according to the following figure.
系统自动识别载片RFID以获取ID。,RFID for the flow cell is identified automatically to obtain the ID.
在存储服务器区域，可创建自定义存储地址。,"In Storage server area, create the customized storage path."
在远程生信分析服务器区域，可设置远程生信服务器IP地址和端口号。,"In Remote bioinformatic server area, set the IP address and port number."
放置载片,Placing the flow cell
如扫描失败，可手动输入ID。,"If scanning fails, manually input the ID."
检查载片完整性。,Check whether the flow cell is complete.
但是，华大智造对遗漏不承担责任，并保留任何对本说明书和仪器进行改进以提高其可靠性、功能或设计的权利。,"However, MGI is not responsible for any missing parts of the manual, and reserves the right to revise the manual and modify the device, so as to improve the reliability, performance or design."
本说明书中的所有图片均为示意图，图片内容可能与实物有细微差异，请以购买的仪器为准。,"Figures in this manual are for illustrative purpose only. The content may be slightly different from the product. For the most up-to-date details, refer to the product purchased."
Microsoft?和Windows?是微软公司在美国和/或其他国家（地区）的商标或注册商标。,Microsoft? and Windows? are trademarks or registered trademarks of Microsoft Corporation in the U.S. and/or other countries.
Intel?是英特尔公司或其子公司在美国和/或其他国家（地区）的商标。,Intel? is the trademark of Intel Corporation or its subsidiaries in the U.S. and/or other countries.
?2025 武汉华大智造科技有限公司 版权所有。,"?2024 Wuhan MGI Tech Co., Ltd. All rights reserved."
本章包括准备工作、测序、后期处理操作。,"This chapter describes the preparations, sequencing, and post-sequencing procedures by using the operation area A as an example."
,
操作前，仔细阅读本章节，以了解操作流程，保证操作正确性。,Read and follow the instructions to ensure correct operations.
本说明书适用于基因测序仪（DNBSEQ-T7+RS）。,This user manual is applicable to Genetic Sequencer (DNBSEQ-T7+RS).
说明书版本1.0，软件版本V1。,The manual version is 1.0 and the software version is V1 and above.
本说明书适用于基因测序仪（DNBSEQ-T7+）。,This user manual is applicable to Genetic Sequencer (DNBSEQ-T7+).
华大智造对本说明书不做任何种类的保证，包括（但不限于）用于特定目的的商业性和合理性的隐含保证。,"MGI makes no commitment to this manual, including (but not limited to) any special commercial purpose and any reasonable implied warranties."
接通或断开仪器电源。,Connects to or disconnects from the power supply:
按压仓门上的，可打开载片回收仓，拉出载片盒，取出待回收的载片。,"Press on the door to open the compartment, pull out the flow cell box and remove the flow cell to be recycled."
拨至OFF位置时断开电源。,Turn to the OFF position to disconnect from the power supply.
连接BCS,Connects to the BCS.
连接BCS外接显示器。,Connects to the BCS external monitor
连接SBC。,Connects to the SBC.
SBC电源开关按钮,Press the button to power on or off the SBC.
SBC连接外部网络。,Connects the SBC to the network.
华大智造已经采取措施，确保本说明书的准确性。,MGI has taken measures to ensure the correctness of this manual.
拨至ON位置时接通电源。,Turn to the ON position to connect to the power supply.
点击查看当前数据和历史数据。,Tap to view the current data and historical data.
点击进入控制中心界面，实时查看部件状态，打开或关闭虚拟键盘和芯驱门，连接ZLIMS，重启设备，关机，重启软件，进行软件最小化和锁屏设置。,"Tap to view the component status, open or close the virtual keyboard and flow cell drive, connect to ZLIMS, restart and shut down the device, restart the software, minimize the software or lock the screen."
控制软件提供两种不同权限的用户账号类型，具体的访问权限信息，请联系技术支持。,"The control software provides account types of different authorizations. For detailed access authorization, contact the technical support."
点击查看登录信息，可退出软件或修改密码。,"Tap to check the login account, exit the software, or change the password."
点击可快速查看仪器实时消息提示，包括信息、警告或错误。,"Tap to quickly view the real-time notifications, including information-type, warning-type, and error-type notifications."
绿色圆点：信息提示。,Green dot: Information-type notification.
历史记录按钮,History record button
简称C操作区，用于进行C边测序相关操作。,Referred to as operation area C for short. Used for sequencing related operations for side C.
点击可查看日志，修改系统设置，管理测序方案及Barcode方案，进行上传设置，进行维护自检，寿命监测及维护清洗，查看仪器信息。,"Tap to view logs, revise system settings, manage sequencing recipe and barcode, configure uploading settings, perform maintenance self-check and maintenance wash, monitor the service life, and view the device information."
BCS连接外部网络。,Connects the BCS to the network.
点击>测序设置，可进行测序相关的设置。,Tap >Sequencing settings to set the parameters related to sequencing.
点击（测序）或（清洗），可进行相关操作。,Tap (Sequence) or (Wash) to perform corresponding operations.
点击可返回原大小。,Tap to return to the original size.
简称B操作区，用于进行B边测序相关操作。,Referred to as operation area B for short. Used for sequencing related operations for side B.
简称D操作区，用于进行D边测序相关操作。,Referred to as operation area D for short. Used for sequencing related operations for side D.
空闲表示当前操作区的状态，将根据仪器状态显示不同状态。,"Idle indicates that the status of the current operation area, and the display varies with the device status."
简称A操作区，用于进行A边测序相关操作。,Referred to as operation area A for short. Used for sequencing related operations for side A.
光纤接口：用于连接网络,Network port: connects to the network.
VGA接口：用于连接外接显示器,VGA port: connects to the external monitor.
网口：用于连接网络,Network port: connects to the network.
控制软件的用户类型包括普通用户和高级用户。,Account types of the control software include common user and advanced user.
预装软件,Pre-installed software on the computer includes:
Microsoft,Microsoft .NET Framework 4.6.1 and above
.NET Framework 4.6.1及兼容版本,Microsoft
硬盘：,Hardware:
点击维护>寿命监测，查看A/B/C/D各边易损件的剩余寿命和维护时间。,Tap Maintenance>Service life monitoring to check the remaining life and maintenance time of the consumable part of side A/B/C/D.
USB接口：用于连接键盘、鼠标，或备用,"USB port: connects to the keyboard and mouse, or for future use"
：抽屉已推回。,Green: The drawer is pushed back.
产品型号,Product model
"Building 24, Stage 3.1, BioLake Accelerator,No.388, 2nd Gaoxin Road, East Lake High-TechDevelopment Zone, 430075, Wuhan, P.R.China","Building 24, Stage 3.1, BioLake Accelerator, No.388, 2nd Gaoxin Road, East Lake High-Tech Development Zone, 430075, Wuhan, P.R.China"
For Research Use Only.,Research use only.
根据样本类型，按照系统操作指南进行准备。,Prepare the samples for different sample types according to the system guide.
关于可支持的样本类型，参考系统操作指南。,"About the supported sample type, refer to the system guide."
清洁前，确保电源已关闭。,Ensure that the device is powered off before cleaning.
其他清洗液或消毒液未经验证，是否对仪器有影响未进行评估。,Other solutions are not verified for use and their effects on the device are unknown.
若对清洗液或消毒液的兼容性有疑问，请联系技术支持。,"If you have questions about the compatibility of wash solutions, contact the technical support."
建议不要使用本说明书未提及的清洗液或消毒液。,It is not recommended to use other wash solutions except for those that are mentioned in this manual.
本章包括准备工作、测序、后期处理操作。,"This chapter describes the preparations, sequencing, and post-sequencing procedures"
按照本说明书的环境要求储存仪器。,Store the device according to the storage requirements specified in this guide.
如有运输需求，请联系技术支持。,"If you have transportation requirements, contact the technical support."
图中标绿部件均为进风孔。,Parts in green in the above figure are ventilation inlets.
图中标黄部件均为出风孔。,Parts in yellow in the above figure are ventilation outlets.
图中标橙部件均为扣手。,Parts in orange in the above figure are handles.
仅供技术支持或经过培训的人员对光学系统进行维护时使用。,Used by the technical support or trained personnel to maintain the optical system.
按下此按钮可打开或关闭光学维护门。,Press to open or close the optical maintenance door.
仪器内置的,A
确保按照本说明书中描述的方法对仪器进行维护，以保证仪器性能良好。,Maintain the device by following the instructions described in this guide to ensure the best performance.
测序以A操作区为例进行介绍。,by using the operation area A as an example.
产生的激光存在潜在人体危害。,is installed in the device. Laser radiation can cause eye injury and skin burns.
请勿重复使用一次性用品，如试剂槽和载片。,"Do not reuse disposable items, except where noted in this guide."
如需重新放置仪器，请联系技术支持。,"If the device needs to be moved, contact the technical support."
禁止将样本及试剂槽置于仪器上，以防液体流入仪器内部，损坏仪器。,Do not place tubes or reagent cartridges on the device. Liquids seeping into the device may damage it.
确保使用本公司指定或推荐型号的,Only the
问题，请及时咨询技术支持。,"questions that are not mentioned in this guide, contact the technical support."
及耗材。,and consumables specified by the manufacturer can be used.
如有任何说明书中未提及的,If you have
中国武汉市东湖新技术开发区高新二路388号武汉光谷国际生物医药企业加速器3.1期24栋,"Building 24, Stage 3.1, BioLake Accelerator, No.388, 2nd Gaoxin Road, East Lake High-Tech Development Zone, 430075, Wuhan, P.R.China"
H-020-001145-00,H-020-001143-00
自定义测序方案设置完成且保存后，后续可在测序方案管理界面查看，亦可在填写参数界面点击测序方案信息框的▼＞Customize后查看并使用。,"After a recipe is customized and saved, you can view it in the Recipe management interface, or tap ▼ in theRecipebox>Customize to view and select the recipe in the Setting parameters interface."
标签序列文件不在默认的标签序列列表中。,When read length(s) in Barcode and/or DualBarcode are not the same as those predefined in the [Recipe] list.
需要进行暗反应测序。,When dark reaction cycles are required in Read1 and/or Read2 sequencing.
温湿度波动会影响实验稳定性，每小时温度波动不能超过2 ℃。仪器不使用时也需维持所需环境要求。因此，建议在实验室中安装冷暖空调及抽湿或加湿设备。,"Because the temperature and humidity fluctuations influence the accuracy of the experiment results, it is recommended that you install an air conditioning system and a humidifier or dehumidifier in the laboratory to maintain the temperature and humidity."
最大声压是在正常使用时操作人员的位置上和距离设备外壳1 m具有最大声压级的任何位置上进行测量和计算得出的结果。,The maximum sound pressure level is measured based on the distance between the position where the device operator stands during normal operation and any position that is 1 m from the device and has the maximum sound pressure level.
相同测序方案无需重复设置。,Avoid redundant configurations of identical recipes.
使用场地,Site of use
尺寸,Dimensions
屏幕,Touch screen
EMC发射等级,EMC
样本加入检测液中孵育后应尽快检测，放置时间过久可能会由于荧光猝灭导致定量不准确。,"After the working solution is added to the DNBs, the mixture should be quantified as soon as possible. Leaving them for a prolonged time may lead to inaccurate results as a result of fluorescence quenching."
Working solution配制后需在30分钟内使用。,The working solution should be used within 30 min following preparation.
禁止碰触检测管的锥形管壁。,Avoid touching the wall of the tapered detection tubes.
检测管中不能有气泡。,Avoid introducing bubbles into the detection tubes.
3000米,3000 m (9842.5 ft)
储存/运输环境,Transportation/Storage environment requirements
约755 kg,Approximately 755 kg (1664.5 lbs)
建立标准曲线另需2个200 μL Qubit Working solution。,"Each standard tube requires190 μL of the working solution, and each DNB sample tube requires 180 μL to199 μL of the working solution.
Prepare sufficient Qubit working solution to accommodate two standards and all DNB samples.
For example, for 8 DNB samples, prepare the working solution for the 8 DNB samples and 2 standards, that is, the final volume of 200 μL per tube in 10 tubes requires 10 μL of [Qubit ssDNA Reagent] and 1990 μL of [Qubit ssDNA Buffer]."
准备2+N个Qubit检测管，分别标注S1（Qubit ssDNA #1standard 0 ng/μL）、S2（Qubit ssDNA #2standard 20 ng/μL）、D1（待测样本DNB）、D2（待测样本DNB）、D3（待测样本DNB）等。,"Prepare 2+N Qubit tubes, and label them with S1 (for [Qubit ssDNA standard #1] 0 ng/μL), S2 (for [Qubit ssDNA standard #2] 20 ng/μL), D1 (DNB sample tube), D2 (DNB sample tube), D3 (DNB sample tube), and so on."
涡旋振荡混匀后用迷你离心机短暂离心5秒，放置待用。,"Mix the solution thoroughly by using the vortex mixer and centrifuge it briefly for 5 s. Then, place it at room temperature until use."
按照下表准备标准管及待测样本管：,"Add the working solutions, standards, and DNB samples to the Qubit tubes according to the table below:"
每个样本DNB定量需要配制200 μL Qubit Working solution。,The final volume for quantifying each DNB sample should be 200 μL.
准备标准管及待测样本管,Preparing the standard tubes and DNB sample tubes
总体积,Total volume (μL)
标准液体积,Standard volume (μL)
S1（0 ng/μL）,Qubit ssDNA standard #1 (0 ng/μL)
S2（20 ng/μL）,Qubit ssDNA standard #2 (20 ng/μL)
待测样本DNB,DNB sample
样本体积,Sample volume (μL)
S1（μL）,S1
S2（μL）,S2
测序试剂槽,Sequencing Reagent Cartridge
DNBSEQ-T7+RS高通量测序试剂盒（T7+ FCL PE100),DNBSEQ-T7+RS High-throughput Sequencing Reagent Kit (T7+ FCL PE100)
DNBSEQ-T7+RS清洗试剂盒（T7+ FCL PE100),DNBSEQ-T7+RS Washing Kit (T7+ FCL PE100)
货号：940-002684-00,Cat. No.: 940-002684-00
480 μL/支×1,480 μL/tube × 1 tube
DNBSEQ-T7+RS插件试剂盒1 (T7+ FCL PE100),DNBSEQ-T7+RS Insert Kit 1 (T7+ FCL PE100)
货号：940-002680-00,Cat. No.: 940-002680-00
体积（mL),Volume (mL)
自定义引物类型,Customized primer type
引物插件孔位,Well
自定义MDA引物工作液,Customized MDA primer
根据下图及下表，用吸头将自定义引物插件上需加样孔位的封膜戳破，用合适量程的移液器将引物工作液分别加入P1~P5孔位中，加入时确保管底部无气泡。,"According to the figure and table below, perform the following steps: Use pipette tips to pierce the seals of the wells to which the customized primers are to be added on the Custom Primer Insert. Take out a pipette with the appropriate range, and add the primers into wells P1 to P5, respectively. Ensure that no air bubbles exist at the bottom of each well when adding the solutions."
根据下图及下表，用吸头将自定义引物插件上需加样孔位的封膜戳破，用合适量程的移液器将引物工作液分别加入P3~P5孔位中，加入时确保管底部无气泡。,"According to the figure and table below, perform the following steps: Use pipette tips to pierce the seals of the wells to which the customized primers are to be added on the Custom Primer Insert. Take out a pipette with the appropriate range, and add the primers into wells P3 to P5, respectively. Ensure that no air bubbles exist at the bottom of each well when adding the solutions."
自定义引物插件加样（PE测序）,Adding the customized primers for PE sequencing
PE自定义引物工作液,Customized primers for PE sequencing
SE自定义引物工作液,Customized primers for SE sequencing
缓慢拉出A边的试剂仓抽屉，用无尘布擦拭抽屉内底部及侧面，保持清洁。,"Gently slide the reagent compartment drawer of side A outward, and use a lint-free cloth moistened with pure water to wipe the bottom and side walls of the drawer to keep it clean and dry."
按照清洗试剂槽上盖的箭头指示方向，将清洗试剂槽放入抽屉左侧。,"Hold the middle-left side of the Washing Cartridge with the left hand and the lower-right side with the right hand, and place it downward into the left side of the drawer according to the arrow on the top cover."
确保已将插件插入测序试剂槽，且插件上的管盖已移除。,Ensure that the inserts are inserted into the Sequencing Reagent Cartridge and the inserts are uncapped.
清洁抽屉内壁时，小心操作防止被上方的试剂针划伤。,"Be cautious of sharp objects, such as the reagent needles inside the reagent compartment, when cleaning the inner walls."
确保已将清洗试剂加入清洗试剂槽。,Ensure that the washing reagents have been added into the Washing Cartridge.
自定义引物插件加样（SE测序）,Adding the customized primers for SE sequencing
本指南适用于基因测序仪（DNBSEQ-T7+RS）和DNBSEQ-T7+RS测序试剂套装。,This system guide is applicable to Genetic Sequencer (DNBSEQ-T7+RS) and DNBSEQ-T7+RS High-throughput Sequencing Reagent Set.
如识别失败，手动输入ID。,Manually input the IDs if scanning fails.
如识别失败，手动输入载片ID。,Manually input the flow cell ID if scanning fails.
本指南及其包含的信息为武汉华大智造科技有限公司（以下简称华大智造）的专有保密信息，未经华大智造的书面许可，任何个人或组织不得全部或部分地对本指南进行重印、复制、修改、传播或公布给他人。本指南的读者为终端用户，指南作为仪器的一部分，由华大智造授权终端用户予以使用。,"This guide and the information contained herein are proprietary to Wuhan MGI Tech Co., Ltd. (hereinafter referred to as MGI), and are intended solely for the contractual use of its customers in the use of the products described herein and for no other purpose. This guide and its contents shall not be reprinted, reproduced, modified, distributed, or disclosed to others, in whole or in part, without prior written consent from MGI."
DNBSEQTM是华大智造或其子公司在中国和/或其他国家（地区）的商标或注册商标。,DNBSEQTM is a trademark of MGI or its subsidiaries in China and/or other countries.
Intel?是英特尔公司或其子公司在美国和/或其他国家（地区）的商标。,Intel? is a trademark of Intel Corporation or its subsidiaries in the U.S. and/or other countries.
但是，华大智造对遗漏不承担责任，并保留任何对本指南和仪器进行改进以提高其可靠性、功能或设计的权利。,"However, MGI is not responsible for any missing parts of the guide and reserves the right to revise the guide and modify the device to improve the reliability, performance, or design."
